"","km_sq","easting","northing","Presence"
"724","NR3996",139000,696000,0
"725","NR3691",136000,691000,0
"726","NR3695",136000,695000,0
"727","NR3893",138000,693000,0
"728","NR3689",136000,689000,0
"729","NR3690",136000,690000,0
"730","NR3896",138000,696000,0
"731","NM3023",130000,723000,0
"732","NM2843",128000,743000,0
"733","NR4096",140000,696000,0
"734","NM9136",191000,736000,0
"735","NR3591",135000,691000,0
"736","NR4199",141000,699000,0
"737","NR3797",137000,697000,0
"738","NR3995",139000,695000,0
"739","NR4095",140000,695000,0
"740","NM8530",185000,730000,0
"741","NM8340",183000,740000,0
"742","NM7333",173000,733000,0
"743","NR3897",138000,697000,0
"744","NM3447",134000,747000,0
"745","NM3545",135000,745000,0
"746","NM3547",135000,747000,0
"747","NM7137",171000,737000,0
"748","NM2159",121000,759000,0
"749","NM0749",107000,749000,0
"750","NM2055",120000,755000,0
"751","NL9540",95000,740000,0
"752","NL9640",96000,740000,0
"753","NM1757",117000,757000,0
"754","NM2463",124000,763000,0
"755","NM2157",121000,757000,0
"756","NM2257",122000,757000,0
"757","NM1253",112000,753000,0
"758","NM1453",114000,753000,0
"759","NM2156",121000,756000,0
"760","NM1959",119000,759000,0
"761","NM0444",104000,744000,0
"762","NM1655",116000,755000,0
"763","NM2763",127000,763000,0
"764","NL9541",95000,741000,0
"765","NL9641",96000,741000,0
"766","NM1553",115000,753000,0
"767","NM2764",127000,764000,0
"768","NM1554",115000,754000,0
"769","NM0548",105000,748000,0
"770","NM3235",132000,735000,0
"771","NM4356",143000,756000,0
"772","NM4553",145000,753000,0
"773","NM7701",177000,701000,0
"774","NM7700",177000,7e+05,0
"775","NR8190",181000,690000,0
"776","NS1947",219000,647000,0
"777","NR7891",178000,691000,0
"778","NM8228",182000,728000,0
"779","NM8227",182000,727000,0
"780","NM8643",186000,743000,0
"781","NM8026",180000,726000,0
"782","NM7926",179000,726000,0
"783","NM8542",185000,742000,0
"784","NM8845",188000,745000,0
"785","NM8543",185000,743000,0
"786","NM8844",188000,744000,0
"787","NR9492",194000,692000,0
"788","NR9897",198000,697000,0
"789","NR3693",136000,693000,0
"790","NR3694",136000,694000,0
"791","NR3696",136000,696000,0
"792","NR3898",138000,698000,0
"793","NR4097",140000,697000,0
"794","NR4099",140000,699000,0
"795","NR4198",141000,698000,0
"796","NR3488",134000,688000,0
